NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,FREQUENTLY/ALWAYS
0,0,0.001,0.029,0.115,0.255
0,0,0.003,0.032,0.129,0.289
0,0,0.004,0.038,0.139,0.307
0,0,0.005,0.047,0.146,0.341
0,0,0.006,0.049,0.147,0.342
0,0.001,0.006,0.05,0.155,0.349
0,0.001,0.007,0.051,0.161,0.357
0,0.001,0.007,0.051,0.164,0.362
0,0.001,0.008,0.053,0.175,0.366
0.001,0.001,0.008,0.053,0.176,0.37
0.001,0.001,0.008,0.056,0.177,0.37
0.001,0.001,0.009,0.058,0.18,0.374
0.001,0.001,0.009,0.058,0.181,0.378
0.001,0.001,0.011,0.06,0.182,0.379
0.001,0.001,0.012,0.061,0.183,0.38
0.001,0.002,0.012,0.061,0.185,0.383
0.001,0.002,0.012,0.061,0.186,0.39
0.001,0.002,0.012,0.063,0.186,0.394
0.001,0.002,0.012,0.064,0.187,0.398
0.001,0.002,0.013,0.064,0.188,0.399
0.001,0.002,0.014,0.065,0.19,0.404
0.001,0.003,0.014,0.066,0.19,0.406
0.001,0.003,0.014,0.068,0.191,0.406
0.001,0.003,0.014,0.069,0.192,0.406
0.001,0.003,0.015,0.069,0.193,0.407
0.001,0.003,0.015,0.069,0.193,0.411
0.001,0.003,0.015,0.07,0.195,0.414
0.001,0.003,0.015,0.071,0.195,0.417
0.001,0.003,0.016,0.072,0.2,0.42
0.001,0.003,0.017,0.072,0.203,0.421
0.001,0.003,0.017,0.073,0.203,0.421
0.001,0.003,0.017,0.073,0.204,0.422
0.001,0.003,0.018,0.074,0.205,0.423
0.001,0.003,0.018,0.074,0.205,0.423
0.002,0.003,0.02,0.074,0.207,0.425
0.002,0.003,0.02,0.074,0.208,0.425
0.002,0.003,0.021,0.075,0.211,0.426
0.002,0.003,0.021,0.075,0.212,0.427
0.002,0.003,0.022,0.075,0.212,0.428
0.002,0.004,0.022,0.076,0.213,0.428
0.002,0.004,0.022,0.076,0.215,0.429
0.002,0.004,0.022,0.077,0.215,0.429
0.002,0.004,0.023,0.078,0.216,0.431
0.002,0.004,0.023,0.079,0.218,0.434
0.002,0.004,0.023,0.079,0.218,0.434
0.002,0.004,0.024,0.08,0.219,0.435
0.002,0.004,0.024,0.08,0.221,0.435
0.002,0.004,0.024,0.08,0.221,0.436
0.003,0.004,0.024,0.08,0.222,0.437
0.003,0.004,0.024,0.081,0.223,0.438
0.003,0.004,0.025,0.081,0.223,0.438
0.003,0.004,0.025,0.082,0.223,0.438
0.003,0.005,0.026,0.082,0.223,0.438
0.003,0.005,0.026,0.083,0.226,0.439
0.003,0.005,0.027,0.084,0.226,0.441
0.003,0.005,0.027,0.084,0.227,0.443
0.003,0.005,0.027,0.084,0.227,0.443
0.003,0.005,0.027,0.084,0.227,0.444
0.003,0.005,0.027,0.084,0.228,0.444
0.003,0.005,0.027,0.085,0.228,0.445
0.003,0.005,0.027,0.085,0.228,0.446
0.003,0.005,0.027,0.085,0.229,0.446
0.004,0.006,0.027,0.087,0.23,0.447
0.004,0.006,0.028,0.087,0.23,0.447
0.004,0.006,0.028,0.087,0.231,0.448
0.004,0.006,0.028,0.088,0.232,0.448
0.004,0.006,0.028,0.089,0.232,0.448
0.004,0.006,0.028,0.09,0.233,0.45
0.004,0.006,0.028,0.09,0.233,0.451
0.004,0.006,0.029,0.09,0.233,0.452
0.004,0.006,0.029,0.09,0.235,0.453
0.004,0.006,0.029,0.09,0.236,0.454
0.004,0.006,0.029,0.091,0.236,0.455
0.004,0.006,0.029,0.091,0.237,0.455
0.004,0.006,0.03,0.092,0.237,0.456
0.005,0.007,0.03,0.093,0.239,0.457
0.005,0.007,0.03,0.093,0.239,0.457
0.005,0.007,0.03,0.094,0.24,0.457
0.005,0.007,0.03,0.094,0.24,0.458
0.005,0.007,0.03,0.094,0.241,0.459
0.005,0.007,0.03,0.095,0.241,0.459
0.005,0.007,0.03,0.095,0.241,0.459
0.006,0.007,0.03,0.096,0.242,0.459
0.006,0.007,0.03,0.096,0.242,0.46
0.006,0.007,0.031,0.096,0.242,0.46
0.006,0.007,0.031,0.097,0.243,0.46
0.006,0.007,0.031,0.097,0.244,0.461
0.006,0.007,0.031,0.097,0.245,0.461
0.006,0.008,0.031,0.097,0.245,0.461
0.006,0.008,0.031,0.097,0.245,0.462
0.006,0.008,0.032,0.098,0.246,0.462
0.006,0.008,0.032,0.098,0.246,0.462
0.006,0.008,0.032,0.098,0.246,0.463
0.006,0.008,0.032,0.098,0.247,0.463
0.006,0.008,0.032,0.098,0.247,0.463
0.006,0.008,0.032,0.098,0.247,0.463
0.006,0.008,0.032,0.098,0.249,0.463
0.006,0.008,0.032,0.098,0.249,0.464
0.006,0.008,0.032,0.099,0.25,0.465
0.006,0.008,0.032,0.099,0.25,0.465
0.006,0.008,0.033,0.099,0.251,0.465
0.006,0.008,0.033,0.099,0.251,0.465
0.006,0.008,0.033,0.099,0.251,0.467
0.006,0.009,0.033,0.1,0.252,0.468
0.006,0.009,0.033,0.1,0.252,0.468
0.006,0.009,0.033,0.1,0.252,0.468
0.007,0.009,0.033,0.1,0.253,0.469
0.007,0.009,0.033,0.1,0.253,0.47
0.007,0.009,0.033,0.1,0.254,0.47
0.007,0.009,0.033,0.101,0.255,0.47
0.007,0.009,0.033,0.101,0.255,0.471
0.007,0.009,0.033,0.101,0.256,0.471
0.007,0.009,0.033,0.102,0.256,0.472
0.007,0.009,0.033,0.102,0.257,0.472
0.007,0.009,0.034,0.103,0.257,0.472
0.007,0.009,0.034,0.103,0.258,0.472
0.007,0.009,0.034,0.103,0.258,0.473
0.007,0.01,0.034,0.103,0.258,0.474
0.007,0.01,0.034,0.104,0.259,0.474
0.007,0.01,0.034,0.104,0.26,0.476
0.007,0.01,0.034,0.104,0.26,0.476
0.007,0.01,0.034,0.104,0.26,0.477
0.007,0.01,0.034,0.104,0.26,0.477
0.007,0.01,0.035,0.104,0.26,0.477
0.007,0.01,0.035,0.104,0.261,0.477
0.007,0.01,0.035,0.104,0.261,0.478
0.007,0.01,0.035,0.104,0.261,0.478
0.008,0.01,0.035,0.104,0.261,0.478
0.008,0.01,0.035,0.105,0.262,0.478
0.008,0.01,0.035,0.105,0.262,0.48
0.008,0.01,0.035,0.105,0.262,0.48
0.008,0.01,0.035,0.106,0.262,0.48
0.008,0.01,0.035,0.106,0.263,0.48
0.008,0.011,0.035,0.106,0.263,0.48
0.008,0.011,0.035,0.106,0.263,0.481
0.008,0.011,0.035,0.106,0.263,0.481
0.008,0.011,0.036,0.107,0.264,0.481
0.008,0.011,0.036,0.107,0.265,0.482
0.008,0.011,0.036,0.107,0.267,0.482
0.008,0.011,0.036,0.107,0.267,0.482
0.008,0.011,0.036,0.107,0.267,0.482
0.008,0.011,0.036,0.107,0.267,0.483
0.008,0.011,0.036,0.107,0.268,0.483
0.008,0.011,0.036,0.107,0.268,0.484
0.008,0.011,0.037,0.107,0.268,0.484
0.008,0.011,0.037,0.107,0.268,0.485
0.008,0.011,0.037,0.107,0.268,0.485
0.008,0.012,0.037,0.107,0.269,0.486
0.008,0.012,0.037,0.108,0.269,0.486
0.008,0.012,0.037,0.108,0.27,0.486
0.009,0.012,0.037,0.108,0.27,0.486
0.009,0.012,0.037,0.108,0.271,0.487
0.009,0.012,0.037,0.108,0.271,0.488
0.009,0.012,0.037,0.109,0.271,0.488
0.009,0.012,0.038,0.109,0.271,0.488
0.009,0.012,0.038,0.109,0.271,0.488
0.009,0.012,0.038,0.109,0.272,0.488
0.009,0.012,0.038,0.109,0.272,0.488
0.009,0.012,0.038,0.109,0.272,0.489
0.009,0.012,0.038,0.109,0.272,0.489
0.009,0.012,0.038,0.11,0.272,0.489
0.009,0.012,0.038,0.11,0.272,0.49
0.009,0.012,0.038,0.11,0.272,0.491
0.009,0.012,0.038,0.11,0.272,0.491
0.009,0.012,0.038,0.11,0.272,0.491
0.009,0.012,0.038,0.11,0.273,0.491
0.01,0.012,0.038,0.11,0.273,0.492
0.01,0.012,0.038,0.11,0.273,0.492
0.01,0.013,0.038,0.111,0.273,0.492
0.01,0.013,0.039,0.111,0.274,0.492
0.01,0.013,0.039,0.111,0.274,0.492
0.01,0.013,0.039,0.111,0.274,0.492
0.01,0.013,0.039,0.111,0.275,0.493
0.01,0.013,0.039,0.111,0.275,0.495
0.01,0.013,0.039,0.111,0.275,0.495
0.01,0.013,0.04,0.112,0.276,0.495
0.01,0.013,0.04,0.112,0.276,0.495
0.01,0.013,0.04,0.112,0.276,0.495
0.01,0.013,0.04,0.112,0.278,0.495
0.01,0.013,0.04,0.112,0.278,0.496
0.01,0.013,0.04,0.112,0.278,0.496
